Action,Time,ISIN,Ticker,Name,No. of shares,Price / share,Currency (Price / share),Exchange rate,Result,Currency (Result),Total,Currency (Total),Withholding tax,Currency (Withholding tax),Stamp duty reserve tax,Currency (Stamp duty reserve tax),Finra fee,Notes,ID,Currency conversion fee,Currency (Currency conversion fee),Currency (Finra fee)
Market sell,2021-03-15 14:44:37,US3202091092,FFBC,First Financial Bancorp,1,25.41,USD,1.38852,0.32,GBP,18.3,GBP,,,,,0,,EOF1193733470,,,GBP
Market sell,2021-03-15 18:17:19,US72919P2020,PLUG,Plug Power,1,46.28,USD,1.38978,-0.26,GBP,33.3,GBP,,,,,,,EOF1195465550,,,
Market buy,2021-03-15 18:22:20,US38113L1070,GNOG,Golden Nugget Online Gaming,2,17.98,USD,1.38948,,GBP,25.88,GBP,,,,,,,EOF1195466631,,,
Market buy,2021-03-15 18:24:58,CA22717L1013,CRON,Cronos,4,10.82,USD,1.3894,,GBP,31.15,GBP,,,,,,,EOF1197317240,,,
Market sell,2021-03-15 18:57:33,US25401T6038,DBRG,DigitalBridge,6,6.69,USD,1.3894,0.42,GBP,28.89,GBP,,,,,,,EOF1197325173,,,
Market sell,2021-03-15 19:02:08,US6945521002,PMBC,Pacific Mercantile Bancorp,4,8.02,USD,1.38934,0.04,GBP,23.09,GBP,,,,,0,,EOF1197326349,,,GBP
Market sell,2021-03-15 19:02:09,US7194051022,PLAB,Photronics,3,12.08,USD,1.38957,-0.05,GBP,26.08,GBP,,,,,,,EOF1197326354,,,
Market sell,2021-03-15 19:08:30,US6496048405,NYMT,New York Mortgage Trust,5,4.66,USD,1.38938,0.93,GBP,16.77,GBP,,,,,,,EOF1197327884,,,
Market sell,2021-03-15 19:17:11,CA9237251058,VET,Vermilion Energy,5,8.54,USD,1.38906,0.49,GBP,30.74,GBP,,,,,,,EOF1197329921,,,
Market sell,2021-03-15 19:18:19,US00771V1089,AERI,Aerie Pharmaceuticals,2,20.84,USD,1.38887,0.04,GBP,30.01,GBP,,,,,,,EOF1197330222,,,
Market sell,2021-03-15 19:19:20,US13462K1097,CWH,Camping World,1,43.53,USD,1.38895,2.02,GBP,31.34,GBP,,,,,,,EOF1197330501,,,
Market sell,2021-03-15 19:46:55,US88688T1007,TLRY,Tilray Brands,1,30.34,USD,1.38983,1.39,GBP,21.83,GBP,,,,,,,EOF1197337789,,,
Withdrawal,2021-03-16 08:46:26,,,,,,,,,,-100,GBP,,,,,,Sent to card *9349,af54988e-4ac6-4e45-964a-abfe8e45d76c,,,
Market sell,2021-03-16 13:46:48,US88688T1007,TLRY,Tilray Brands,1,28.88,USD,1.38912,0.35,GBP,20.79,GBP,,,,,,,EOF1198564096,,,
Market sell,2021-03-16 14:24:58,US92766K4031,SPCE,Virgin Galactic,1,33.16,USD,1.38977,-0.03,GBP,23.86,GBP,,,,,,,EOF1202288145,,,
Withdrawal,2021-03-16 17:17:21,,,,,,,,,,-40,GBP,,,,,,Sent to card *9849,90f2a406-175a-4c46-ac5e-f53fce4a3ae6,,,
Market sell,2021-03-16 18:31:20,US81727U1051,SENS,Senseonics,10,2.9,USD,1.39022,-3.37,GBP,20.86,GBP,,,,,,,EOF1205123059,,,
