Action,Time,ISIN,Ticker,Name,No. of shares,Price / share,Currency (Price / share),Exchange rate,Result,Currency (Result),Total,Currency (Total),Withholding tax,Currency (Withholding tax),Stamp duty reserve tax,Currency (Stamp duty reserve tax),Finra fee,Notes,ID,Currency conversion fee,Currency (Currency conversion fee),Currency (Finra fee)
Market buy,2021-03-08 14:31:53,CA0636711016,BMO,Bank of Montreal,0.016069,86.09,USD,1.38338,,GBP,1,GBP,,,,,,,EOF1152852534,,,
Market buy,2021-03-08 14:31:53,US9311421039,WMT,Walmart,0.0107107,129.16,USD,1.38339,,GBP,1,GBP,,,,,,,EOF1152852530,,,
Market buy,2021-03-08 14:31:53,CA0641491075,BNS,Bank of Nova Scotia,0.022501,61.48,USD,1.38336,,GBP,1,GBP,,,,,,,EOF1152852518,,,
Market buy,2021-03-08 14:31:53,US0010551028,AFL,Aflac,0.02741,50.47,USD,1.38338,,GBP,1,GBP,,,,,,,EOF1152852524,,,
Market buy,2021-03-08 14:31:53,US4781601046,JNJ,Johnson & Johnson,0.0088283,156.7,USD,1.38339,,GBP,1,GBP,,,,,,,EOF1152852483,,,
Market buy,2021-03-08 14:31:53,CH0044328745,CB,Chubb,0.0080355,172.16,USD,1.38339,,GBP,1,GBP,,,,,,,EOF1152852567,,,
Market buy,2021-03-08 14:31:53,US56035L1044,MAIN,Main Street Capital,0.03748,36.91,USD,1.38338,,GBP,1,GBP,,,,,,,EOF1152852575,,,
Market buy,2021-03-08 14:31:53,US8243481061,SHW,Sherwin-Williams,0.0020352,679.72,USD,1.38336,,GBP,1,GBP,,,,,,,EOF1152852571,,,
Market buy,2021-03-08 14:31:53,IE00BTN1Y115,MDT,Medtronic,0.0116959,118.28,USD,1.38339,,GBP,1,GBP,,,,,,,EOF1152852563,,,
Market buy,2021-03-08 14:31:53,US92826C8394,V,Visa,0.0063839,216.7,USD,1.38339,,GBP,1,GBP,,,,,,,EOF1152852554,,,
Market buy,2021-03-08 14:31:53,US1912161007,KO,Coca-Cola,0.026867,51.49,USD,1.38338,,GBP,1,GBP,,,,,,,EOF1152852369,,,
